TIFF (£/ha),a,b,c,d,e,f
10,9.816924255,20.23359092,30.65025759,41.06692426,51.48359092,61.90025759
25,12.94192426,23.35859092,33.77525759,44.19192426,54.60859092,65.02525759
50,18.15025759,28.56692426,38.98359092,49.40025759,59.81692426,70.23359092
75,23.35859092,33.77525759,44.19192426,54.60859092,65.02525759,75.44192426
100,28.56692426,38.98359092,49.40025759,59.81692426,70.23359092,80.65025759
125,33.77525759,44.19192426,54.60859092,65.02525759,75.44192426,85.85859092
150,38.98359092,49.40025759,59.81692426,70.23359092,80.65025759,91.06692426
175,44.19192426,54.60859092,65.02525759,75.44192426,85.85859092,96.27525759
200,49.40025759,59.81692426,70.23359092,80.65025759,91.06692426,101.4835909
250,59.81692426,70.23359092,80.65025759,91.06692426,101.4835909,111.9002576
300,70.23359092,80.65025759,91.06692426,101.4835909,111.9002576,122.3169243
350,80.65025759,91.06692426,101.4835909,111.9002576,122.3169243,132.7335909
400,91.06692426,101.4835909,111.9002576,122.3169243,132.7335909,143.1502576
450,101.4835909,111.9002576,122.3169243,132.7335909,143.1502576,153.5669243
500,111.9002576,122.3169243,132.7335909,143.1502576,153.5669243,163.9835909
550,122.3169243,132.7335909,143.1502576,153.5669243,163.9835909,174.4002576
600,132.7335909,143.1502576,153.5669243,163.9835909,174.4002576,184.8169243
650,143.1502576,153.5669243,163.9835909,174.4002576,184.8169243,195.2335909
700,153.5669243,163.9835909,174.4002576,184.8169243,195.2335909,205.6502576
750,163.9835909,174.4002576,184.8169243,195.2335909,205.6502576,216.0669243
800,174.4002576,184.8169243,195.2335909,205.6502576,216.0669243,226.4835909
850,184.8169243,195.2335909,205.6502576,216.0669243,226.4835909,236.9002576
900,195.2335909,205.6502576,216.0669243,226.4835909,236.9002576,247.3169243
950,205.6502576,216.0669243,226.4835909,236.9002576,247.3169243,257.7335909
1000,216.0669243,226.4835909,236.9002576,247.3169243,257.7335909,268.1502576
1050,226.4835909,236.9002576,247.3169243,257.7335909,268.1502576,278.5669243
1100,236.9002576,247.3169243,257.7335909,268.1502576,278.5669243,288.9835909
1150,247.3169243,257.7335909,268.1502576,278.5669243,288.9835909,299.4002576
1200,257.7335909,268.1502576,278.5669243,288.9835909,299.4002576,309.8169243
