TIFF (£/ha),a,b,c,d,e,f
10,12.18436369,16.2089773,18.03834713,19.08370132,19.76010697,20.23359092
25,15.30936369,19.3339773,21.16334713,22.20870132,22.88510697,23.35859092
50,20.51769702,24.54231064,26.37168046,27.41703465,28.0934403,28.56692426
75,25.72603035,29.75064397,31.5800138,32.62536798,33.30177363,33.77525759
100,30.93436369,34.9589773,36.78834713,37.83370132,38.51010697,38.98359092
125,36.14269702,40.16731064,41.99668046,43.04203465,43.7184403,44.19192426
150,41.35103035,45.37564397,47.2050138,48.25036798,48.92677363,49.40025759
175,46.55936369,50.5839773,52.41334713,53.45870132,54.13510697,54.60859092
200,51.76769702,55.79231064,57.62168046,58.66703465,59.3434403,59.81692426
250,62.18436369,66.2089773,68.03834713,69.08370132,69.76010697,70.23359092
300,72.60103035,76.62564397,78.4550138,79.50036798,80.17677363,80.65025759
350,83.01769702,87.04231064,88.87168046,89.91703465,90.5934403,91.06692426
400,93.43436369,97.4589773,99.28834713,100.3337013,101.010107,101.4835909
450,103.8510304,107.875644,109.7050138,110.750368,111.4267736,111.9002576
500,114.267697,118.2923106,120.1216805,121.1670347,121.8434403,122.3169243
550,124.6843637,128.7089773,130.5383471,131.5837013,132.260107,132.7335909
600,135.1010304,139.125644,140.9550138,142.000368,142.6767736,143.1502576
650,145.517697,149.5423106,151.3716805,152.4170347,153.0934403,153.5669243
700,155.9343637,159.9589773,161.7883471,162.8337013,163.510107,163.9835909
750,166.3510304,170.375644,172.2050138,173.250368,173.9267736,174.4002576
800,176.767697,180.7923106,182.6216805,183.6670347,184.3434403,184.8169243
850,187.1843637,191.2089773,193.0383471,194.0837013,194.760107,195.2335909
900,197.6010304,201.625644,203.4550138,204.500368,205.1767736,205.6502576
950,208.017697,212.0423106,213.8716805,214.9170347,215.5934403,216.0669243
1000,218.4343637,222.4589773,224.2883471,225.3337013,226.010107,226.4835909
1050,228.8510304,232.875644,234.7050138,235.750368,236.4267736,236.9002576
1100,239.267697,243.2923106,245.1216805,246.1670347,246.8434403,247.3169243
1150,249.6843637,253.7089773,255.5383471,256.5837013,257.260107,257.7335909
1200,260.1010304,264.125644,265.9550138,267.000368,267.6767736,268.1502576
