TIFF (£/ha),a,b,c,d,e,f
10,77.92775592,38.96387796,25.97591864,19.48193898,15.58555118,12.98795932
25,87.30275592,43.65137796,29.10091864,21.82568898,17.46055118,14.55045932
50,102.9277559,51.46387796,34.30925197,25.73193898,20.58555118,17.15462599
75,118.5527559,59.27637796,39.51758531,29.63818898,23.71055118,19.75879265
100,134.1777559,67.08887796,44.72591864,33.54443898,26.83555118,22.36295932
125,149.8027559,74.90137796,49.93425197,37.45068898,29.96055118,24.96712599
150,165.4277559,82.71387796,55.14258531,41.35693898,33.08555118,27.57129265
175,181.0527559,90.52637796,60.35091864,45.26318898,36.21055118,30.17545932
200,196.6777559,98.33887796,65.55925197,49.16943898,39.33555118,32.77962599
250,227.9277559,113.963878,75.97591864,56.98193898,45.58555118,37.98795932
300,259.1777559,129.588878,86.39258531,64.79443898,51.83555118,43.19629265
350,290.4277559,145.213878,96.80925197,72.60693898,58.08555118,48.40462599
400,321.6777559,160.838878,107.2259186,80.41943898,64.33555118,53.61295932
450,352.9277559,176.463878,117.6425853,88.23193898,70.58555118,58.82129265
500,384.1777559,192.088878,128.059252,96.04443898,76.83555118,64.02962599
550,415.4277559,207.713878,138.4759186,103.856939,83.08555118,69.23795932
600,446.6777559,223.338878,148.8925853,111.669439,89.33555118,74.44629265
650,477.9277559,238.963878,159.309252,119.481939,95.58555118,79.65462599
700,509.1777559,254.588878,169.7259186,127.294439,101.8355512,84.86295932
750,540.4277559,270.213878,180.1425853,135.106939,108.0855512,90.07129265
