TIFF (£/ha),a,b,c,d,e,f
10,60.70583952,30.35291976,20.23527984,15.17645988,12.1411679,10.11763992
25,70.08083952,35.04041976,23.36027984,17.52020988,14.0161679,11.68013992
50,85.70583952,42.85291976,28.56861317,21.42645988,17.1411679,14.28430659
75,101.3308395,50.66541976,33.77694651,25.33270988,20.2661679,16.88847325
100,116.9558395,58.47791976,38.98527984,29.23895988,23.3911679,19.49263992
125,132.5808395,66.29041976,44.19361317,33.14520988,26.5161679,22.09680659
150,148.2058395,74.10291976,49.40194651,37.05145988,29.6411679,24.70097325
175,163.8308395,81.91541976,54.61027984,40.95770988,32.7661679,27.30513992
200,179.4558395,89.72791976,59.81861317,44.86395988,35.8911679,29.90930659
250,210.7058395,105.3529198,70.23527984,52.67645988,42.1411679,35.11763992
300,241.9558395,120.9779198,80.65194651,60.48895988,48.3911679,40.32597325
350,273.2058395,136.6029198,91.06861317,68.30145988,54.6411679,45.53430659
400,304.4558395,152.2279198,101.4852798,76.11395988,60.8911679,50.74263992
450,335.7058395,167.8529198,111.9019465,83.92645988,67.1411679,55.95097325
500,366.9558395,183.4779198,122.3186132,91.73895988,73.3911679,61.15930659
550,398.2058395,199.1029198,132.7352798,99.55145988,79.6411679,66.36763992
600,429.4558395,214.7279198,143.1519465,107.3639599,85.8911679,71.57597325
650,460.7058395,230.3529198,153.5686132,115.1764599,92.1411679,76.78430659
700,491.9558395,245.9779198,163.9852798,122.9889599,98.3911679,81.99263992
750,523.2058395,261.6029198,174.4019465,130.8014599,104.6411679,87.20097325
800,554.4558395,277.2279198,184.8186132,138.6139599,110.8911679,92.40930659
850,585.7058395,292.8529198,195.2352798,146.4264599,117.1411679,97.61763992
900,616.9558395,308.4779198,205.6519465,154.2389599,123.3911679,102.8259733
950,648.2058395,324.1029198,216.0686132,162.0514599,129.6411679,108.0343066
1000,679.4558395,339.7279198,226.4852798,169.8639599,135.8911679,113.2426399
1050,710.7058395,355.3529198,236.9019465,177.6764599,142.1411679,118.4509733
1100,741.9558395,370.9779198,247.3186132,185.4889599,148.3911679,123.6593066
1150,773.2058395,386.6029198,257.7352798,193.3014599,154.6411679,128.8676399
1200,804.4558395,402.2279198,268.1519465,201.1139599,160.8911679,134.0759733
