TIFF (£/ha),a,b,c,d,e,f
10,22.5364052,20.58344924,20.23359092,20.01231174,19.83407445,19.75069734
25,25.6614052,23.70844924,23.35859092,23.13731174,22.95907445,22.87569734
50,30.86973853,28.91678257,28.56692426,28.34564507,28.16740778,28.08403067
75,36.07807186,34.1251159,33.77525759,33.55397841,33.37574111,33.292364
100,41.2864052,39.33344924,38.98359092,38.76231174,38.58407445,38.50069734
125,46.49473853,44.54178257,44.19192426,43.97064507,43.79240778,43.70903067
150,51.70307186,49.7501159,49.40025759,49.17897841,49.00074111,48.917364
175,56.9114052,54.95844924,54.60859092,54.38731174,54.20907445,54.12569734
200,62.11973853,60.16678257,59.81692426,59.59564507,59.41740778,59.33403067
250,72.5364052,70.58344924,70.23359092,70.01231174,69.83407445,69.75069734
300,82.95307186,81.0001159,80.65025759,80.42897841,80.25074111,80.167364
350,93.36973853,91.41678257,91.06692426,90.84564507,90.66740778,90.58403067
400,103.7864052,101.8334492,101.4835909,101.2623117,101.0840744,101.0006973
450,114.2030719,112.2501159,111.9002576,111.6789784,111.5007411,111.417364
500,124.6197385,122.6667826,122.3169243,122.0956451,121.9174078,121.8340307
550,135.0364052,133.0834492,132.7335909,132.5123117,132.3340744,132.2506973
600,145.4530719,143.5001159,143.1502576,142.9289784,142.7507411,142.667364
650,155.8697385,153.9167826,153.5669243,153.3456451,153.1674078,153.0840307
700,166.2864052,164.3334492,163.9835909,163.7623117,163.5840744,163.5006973
750,176.7030719,174.7501159,174.4002576,174.1789784,174.0007411,173.917364
800,187.1197385,185.1667826,184.8169243,184.5956451,184.4174078,184.3340307
850,197.5364052,195.5834492,195.2335909,195.0123117,194.8340744,194.7506973
900,207.9530719,206.0001159,205.6502576,205.4289784,205.2507411,205.167364
950,218.3697385,216.4167826,216.0669243,215.8456451,215.6674078,215.5840307
1000,228.7864052,226.8334492,226.4835909,226.2623117,226.0840744,226.0006973
1050,239.2030719,237.2501159,236.9002576,236.6789784,236.5007411,236.417364
1100,249.6197385,247.6667826,247.3169243,247.0956451,246.9174078,246.8340307
1150,260.0364052,258.0834492,257.7335909,257.5123117,257.3340744,257.2506973
1200,270.4530719,268.5001159,268.1502576,267.9289784,267.7507411,267.667364
