Package Name,Description,Reference
bookdown,Authoring Books and Technical Documents with R Markdown,"(Xie, 2016)"
broom,Convert statistical objects into tidy tibbles,"(Robinson, Hayes and Couch, 2022)"
ggplot2,Elegant graphics for data analysis,"(Wickham, 2016)"
here,A Simpler Way to Find Your Files,"(Muller, 2020)"
janitor,Simple tools for examining and cleaning dirty data,"(Firke, 2021)"
kableExtra,Construct complex table with 'kable' and pipe syntax,"(Zhu, 2021)"
knitr,A General-Purpose Package for Dynamic Report Generation in R,"(Xie, 2022)"
plotly,Interactive web-based data visualization with R,"(Sievert, 2020)"
rgdal,Bindings for the 'geospatial' data abstraction library,"(Bivand, Keitt and Rowlingson, 2022)"
scales,Scale functions for visualization,"(Wickham and Seidel, 2020)"
tidyverse,Welcome to the Tidyverse,"(Wickham et al., 2019)"
viridis,Colorblind-Friendly Color Maps for R,"(Garnier et al., 2021)"
wordcountaddin,Word counts and readability statistics in R markdown documents,"(Marwick, 2022)"
