Region,wheat,winter_barley,spring_barley,oats,other_cereals_excluding_maize,potatoes,beet,oilseed_rape,other_arable_crops_not_for_stockfeeding,field_beans_includes_field_beans_not_for_stockfeeding,peas_includes_peas_not_for_stockfeeding,maize,other_crops_mainly_for_stockfeeding,fruit_veg_excludes_peas_and_field_beans,flowers,fallow,permanent_grassland,temporary_grassland,woodland,non_agricultural_land
East_Midlands,1564.724286,1201.897486,1201.897486,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0
East_of_England,1552.313311,1125.692341,1125.692341,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0
London,1601.028722,1174.488275,1174.488275,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0
North_East,1618.673526,1270.849817,1270.849817,1063.3757,965.6621062,5987.8598,2668.008173,1457.738153,779.6197144,1149.955282,1149.955282,1522.127816,280.6691635,2646.249651,41479.39473,0,1.245094328,254.4754916,0,0
North_West,1493.89077,1170.773031,1170.773031,1063.3757,965.6621062,5987.8598,2668.008173,1457.738153,779.6197144,1149.955282,1149.955282,1522.127816,280.6691635,2646.249651,41479.39473,0,1.245094328,254.4754916,0,0
Northern_Ireland,1800.655418,1331.614062,1331.614062,1081.324208,965.6621062,6275.524434,2668.008173,1412.454828,779.6197144,1044.846463,1044.846463,1522.127816,280.6691635,4160.1777,41479.39473,0,1.245094328,266.1140108,0,0
Scotland,1756.881988,1200.908977,1200.908977,1187.4654,1057.386962,8562.396179,2668.008173,1348.941766,779.6197144,1149.955282,1149.955282,1522.127816,280.6691635,2646.249651,41479.39473,0,1.245094328,412.636802,0,0
South_East,1601.028722,1174.488275,1174.488275,1075.113528,965.6621062,8151.231953,2668.008173,1435.676398,779.6197144,1140.473682,1140.473682,1522.127816,280.6691635,4281.223206,41479.39473,0,1.245094328,254.4754916,0,0
South_West,1603.377941,1254.419227,1254.419227,1081.324208,965.6621062,6413.983125,2668.008173,1412.454828,779.6197144,1044.846463,1044.846463,1522.127816,280.6691635,4160.1777,41479.39473,0,1.245094328,254.4754916,0,0
Wales,1603.377941,1254.419227,1254.419227,1081.324208,965.6621062,6413.983125,2668.008173,1412.454828,779.6197144,1044.846463,1044.846463,1522.127816,280.6691635,4160.1777,41479.39473,0,1.245094328,254.4754916,0,0
West_Midlands,1543.719221,1262.170651,1262.170651,1081.324208,965.6621062,6413.983125,2668.008173,1412.454828,779.6197144,1044.846463,1044.846463,1522.127816,280.6691635,4160.1777,41479.39473,0,1.245094328,254.4754916,0,0
Yorkshire_and_The_Humber,1618.673526,1270.849817,1270.849817,1063.3757,965.6621062,5987.8598,2668.008173,1457.738153,779.6197144,1149.955282,1149.955282,1522.127816,280.6691635,2646.249651,41479.39473,0,1.245094328,254.4754916,0,0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
