NUTS3 geographical region,Region,Total area on agricultural holdings,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
Hartlepool and Stockton-on-Tees,North_East,"14,198","4,506",811,"1,127",295,0,#,37,828,83,448,#,#,#,#,0,345,"3,688","1,121",301,495
South Teesside,North_East,"13,637","2,798",922,634,#,#,#,#,610,63,456,0,0,0,26,#,260,"5,566",899,878,232
Darlington,North_East,"13,747","3,667","1,042","1,245",457,148,#,31,639,147,454,#,#,#,#,#,304,"3,538","1,364",394,176
Durham CC,North_East,"174,003","14,018","5,582","4,441","1,782",248,183,#,"3,654",660,885,157,172,76,192,#,"1,581","125,443","5,804","7,058","2,010"
Northumberland,North_East,"394,071","35,601","13,609","10,693","7,368",730,844,198,"12,151","1,974","3,588","1,243",#,607,624,#,"4,965","257,907","16,143","19,318","6,041"
Tyneside,North_East,"11,261","2,250",856,680,376,#,#,#,458,230,#,0,#,#,10,#,392,"4,085",767,478,259
Sunderland,North_East,"3,367","1,088",336,149,#,0,0,0,180,29,#,0,0,0,0,0,132,810,163,187,81
West Cumbria,North_West,"172,489","1,762","2,044","4,965",119,267,95,61,334,408,#,#,639,#,139,#,163,"140,689","9,703","7,132","3,927"
East Cumbria,North_West,"400,850","2,916","3,379","6,897",513,518,157,588,486,551,123,#,"1,556",42,237,#,390,"340,002","16,594","20,359","5,539"
Manchester,North_West,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,#,#
Greater Manchester South West,North_West,"4,477",650,178,575,102,0,133,#,#,42,#,0,#,#,79,#,147,"1,347",569,350,121
Greater Manchester South East,North_West,"5,723",#,0,0,0,0,0,0,0,0,0,0,#,0,#,0,0,"5,038",32,493,109
Greater Manchester North West,North_West,"9,256","1,101",204,510,164,0,#,#,162,#,50,0,46,#,#,#,74,"5,899",427,345,225
Greater Manchester North East,North_West,"16,010",0,0,#,#,0,0,0,0,0,0,0,#,0,#,0,0,"15,295",#,336,321
Blackburn with Darwen,North_West,"6,345",0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,"6,111",#,173,59
Blackpool,North_West,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,#,#
Lancaster and Wyre,North_West,"74,997","1,111",270,"1,118",166,0,121,54,#,43,#,0,775,#,31,0,31,"64,297","3,011","2,721","1,160"
Mid Lancashire,North_West,"72,305","1,600",490,778,263,#,161,30,98,46,#,0,726,#,78,#,92,"61,961","2,338","2,210","1,291"
East Lancashire,North_West,"31,478",#,0,0,0,#,0,0,0,0,0,0,0,0,#,0,#,"30,341",40,681,337
Chorley and West Lancashire,North_West,"37,263","4,799",558,"3,745",788,#,"1,770",263,665,188,381,#,530,#,"2,974",#,"1,066","15,412","2,661",740,622
Warrington,North_West,"7,273","1,527",772,933,257,#,261,24,228,25,100,#,220,#,58,0,162,"1,662",670,239,104
Cheshire East,North_West,"80,002","4,060","1,777","1,868",944,188,678,103,297,362,377,0,"4,843",#,131,#,313,"49,867","9,747","2,765","1,664"
Cheshire West and Chester,North_West,"60,831","4,853",979,"2,093",577,276,"1,116",85,716,181,140,#,"4,977",#,207,0,388,"32,728","7,228","2,102","2,074"
East Merseyside,North_West,"10,384","2,553",815,830,490,#,506,134,321,30,174,0,251,0,359,#,419,"1,927",709,708,119
Liverpool,North_West,219,#,#,#,0,0,#,0,0,0,0,0,0,0,#,0,#,71,0,#,#
Sefton,North_West,"4,986",861,134,385,141,0,301,48,122,#,#,0,#,0,184,0,154,"1,482",159,178,733
Wirral,North_West,"3,837",568,#,272,#,0,154,#,#,#,#,0,235,0,31,#,62,"1,723",357,93,148
"Kingston upon Hull, City of",Yorkshire_and_The_Humber,264,#,#,#,0,0,0,0,0,#,0,0,0,0,0,0,#,#,#,#,#
East Riding of Yorkshire,Yorkshire_and_The_Humber,"202,440","71,392","14,980","23,654","3,725","1,473","5,733","1,660","16,017","2,522","4,854","9,820","2,676",548,"1,464",14,"3,934","21,823","8,309","4,904","2,936"
North and North East Lincolnshire,Yorkshire_and_The_Humber,"75,897","28,308","3,685","6,337",497,583,"2,022","2,471","6,607","1,258","2,372","2,985","2,415",68,907,138,"2,329","5,804","3,232","1,941","1,939"
York,Yorkshire_and_The_Humber,"17,488","4,400","1,208","1,928",480,#,533,291,614,94,454,96,343,#,148,0,354,"4,748",959,424,277
North Yorkshire CC,Yorkshire_and_The_Humber,"681,599","90,455","32,993","30,911","8,221","2,125","7,956","4,093","16,285","3,829","8,796","2,878","5,129",541,"2,645",63,"7,115","392,653","29,884","26,051","8,977"
