Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
North_East,Hartlepool and Stockton-on-Tees,"14,198","4,506",811,"1,127",295,0,NA,37,828,83,448,NA,NA,NA,NA,0,345,"3,688","1,121",301,495
North_East,South Teesside,"13,637","2,798",922,634,NA,NA,NA,NA,610,63,456,0,0,0,26,NA,260,"5,566",899,878,232
North_East,Darlington,"13,747","3,667","1,042","1,245",457,148,NA,31,639,147,454,NA,NA,NA,NA,NA,304,"3,538","1,364",394,176
North_East,Durham CC,"174,003","14,018","5,582","4,441","1,782",248,183,NA,"3,654",660,885,157,172,76,192,NA,"1,581","125,443","5,804","7,058","2,010"
North_East,Northumberland,"394,071","35,601","13,609","10,693","7,368",730,844,198,"12,151","1,974","3,588","1,243",NA,607,624,NA,"4,965","257,907","16,143","19,318","6,041"
North_East,Tyneside,"11,261","2,250",856,680,376,NA,NA,NA,458,230,NA,0,NA,NA,10,NA,392,"4,085",767,478,259
North_East,Sunderland,"3,367","1,088",336,149,NA,0,0,0,180,29,NA,0,0,0,0,0,132,810,163,187,81
North_West,West Cumbria,"172,489","1,762","2,044","4,965",119,267,95,61,334,408,NA,NA,639,NA,139,NA,163,"140,689","9,703","7,132","3,927"
North_West,East Cumbria,"400,850","2,916","3,379","6,897",513,518,157,588,486,551,123,NA,"1,556",42,237,NA,390,"340,002","16,594","20,359","5,539"
North_West,Manchester,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,NA,NA
North_West,Greater Manchester South West,"4,477",650,178,575,102,0,133,NA,NA,42,NA,0,NA,NA,79,NA,147,"1,347",569,350,121
North_West,Greater Manchester South East,"5,723",NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,"5,038",32,493,109
North_West,Greater Manchester North West,"9,256","1,101",204,510,164,0,NA,NA,162,NA,50,0,46,NA,NA,NA,74,"5,899",427,345,225
North_West,Greater Manchester North East,"16,010",0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,"15,295",NA,336,321
North_West,Blackburn with Darwen,"6,345",0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,"6,111",NA,173,59
