NUTS3 geographical region,Region,Total claimants (a),Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
Hartlepool and Stockton-on-Tees,North_East,186,103,46,52,17,0,#,5,33,13,22,#,#,#,#,0,49,164,76,88,157
South Teesside,North_East,162,63,41,36,#,#,#,#,23,9,18,0,0,0,8,#,37,155,56,75,144
Darlington,North_East,187,98,60,54,22,5,#,6,27,21,23,#,#,#,#,#,57,175,70,103,162
Durham CC,North_East,"1,532",303,251,221,103,18,18,#,139,107,57,10,19,10,30,#,183,"1,512",338,901,"1,386"
Northumberland,North_East,"1,781",505,398,366,232,25,45,19,289,219,129,48,#,29,81,#,361,"1,753",561,"1,270","1,664"
Tyneside,North_East,163,57,38,37,21,#,#,#,21,19,#,0,#,#,5,#,39,151,57,80,139
Sunderland,North_East,63,26,12,8,#,0,0,0,8,9,#,0,0,0,0,0,19,57,18,35,56
West Cumbria,North_West,"1,647",117,158,361,19,17,25,12,19,124,#,#,40,#,39,#,50,"1,630",496,959,"1,456"
East Cumbria,North_West,"3,503",157,223,423,33,8,30,87,19,142,6,#,75,9,93,#,94,"3,484",710,"2,212","3,133"
Manchester,North_West,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,#,#
Greater Manchester South West,North_West,81,25,13,24,6,0,10,#,#,5,#,0,#,#,13,#,20,68,27,34,65
Greater Manchester South East,North_West,147,#,0,0,0,0,0,0,0,0,0,0,#,0,#,0,0,146,5,81,126
Greater Manchester North West,North_West,230,35,18,32,10,0,#,#,12,#,5,0,5,#,#,#,23,224,49,94,189
Greater Manchester North East,North_West,318,0,0,#,#,0,0,0,0,0,0,0,#,0,#,0,0,317,#,116,271
Blackburn with Darwen,North_West,115,0,0,0,0,0,0,0,0,#,0,0,0,0,0,0,0,114,#,60,100
Blackpool,North_West,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,#,#
Lancaster and Wyre,North_West,907,73,23,74,18,0,23,6,#,23,#,0,59,#,21,0,21,889,168,463,823
