Region,Subregion,Total,Wheat,Winter Barley,Spring Barley,Oats,Other cereals (excluding maize),Potatoes,Beet,Oilseed Rape,Other arable crops not for stockfeeding,Field beans (includes field beans not for stockfeeding),Peas (includes peas not for stockfeeding),Maize,Other crops mainly for stockfeeding,Fruit & Veg (excludes peas and field beans),Flowers,Fallow,Permanent Grassland,Temporary Grassland,Woodland,Non-agricultural land
North_East,Hartlepool and Stockton-on-Tees,186,103,46,52,17,0,NA,5,33,13,22,NA,NA,NA,NA,0,49,164,76,88,157
North_East,South Teesside,162,63,41,36,NA,NA,NA,NA,23,9,18,0,0,0,8,NA,37,155,56,75,144
North_East,Darlington,187,98,60,54,22,5,NA,6,27,21,23,NA,NA,NA,NA,NA,57,175,70,103,162
North_East,Durham CC,"1,532",303,251,221,103,18,18,NA,139,107,57,10,19,10,30,NA,183,"1,512",338,901,"1,386"
North_East,Northumberland,"1,781",505,398,366,232,25,45,19,289,219,129,48,NA,29,81,NA,361,"1,753",561,"1,270","1,664"
North_East,Tyneside,163,57,38,37,21,NA,NA,NA,21,19,NA,0,NA,NA,5,NA,39,151,57,80,139
North_East,Sunderland,63,26,12,8,NA,0,0,0,8,9,NA,0,0,0,0,0,19,57,18,35,56
North_West,West Cumbria,"1,647",117,158,361,19,17,25,12,19,124,NA,NA,40,NA,39,NA,50,"1,630",496,959,"1,456"
North_West,East Cumbria,"3,503",157,223,423,33,8,30,87,19,142,6,NA,75,9,93,NA,94,"3,484",710,"2,212","3,133"
North_West,Manchester,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,NA,NA
North_West,Greater Manchester South West,81,25,13,24,6,0,10,NA,NA,5,NA,0,NA,NA,13,NA,20,68,27,34,65
North_West,Greater Manchester South East,147,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,146,5,81,126
North_West,Greater Manchester North West,230,35,18,32,10,0,NA,NA,12,NA,5,0,5,NA,NA,NA,23,224,49,94,189
North_West,Greater Manchester North East,318,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,317,NA,116,271
North_West,Blackburn with Darwen,115,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,114,NA,60,100
North_West,Blackpool,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,NA,NA
North_West,Lancaster and Wyre,907,73,23,74,18,0,23,6,NA,23,NA,0,59,NA,21,0,21,889,168,463,823
North_West,Mid Lancashire,"1,149",80,31,50,18,NA,11,7,6,11,NA,0,45,NA,28,NA,33,"1,132",128,620,"1,050"
North_West,East Lancashire,625,NA,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,624,6,255,537
North_West,Chorley and West Lancashire,557,129,47,165,42,NA,121,34,27,39,24,NA,60,NA,164,NA,117,503,163,265,506
North_West,Warrington,152,49,39,42,23,NA,27,5,7,5,5,NA,15,NA,19,0,36,124,63,59,124
North_West,Cheshire East,"1,381",175,111,143,50,14,76,19,18,49,27,0,249,NA,41,NA,132,"1,337",483,751,"1,247"
North_West,Cheshire West and Chester,973,172,73,170,37,13,80,15,20,36,10,NA,254,NA,37,0,109,938,404,516,889
North_West,East Merseyside,159,75,42,51,25,NA,43,11,12,11,10,0,22,0,25,NA,61,130,53,85,138
North_West,Liverpool,5,NA,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,5,0,NA,NA
North_West,Sefton,66,22,6,20,5,0,17,6,5,NA,NA,0,NA,0,16,0,15,51,18,24,55
North_West,Wirral,54,13,NA,10,NA,0,6,NA,NA,NA,NA,0,7,0,5,NA,8,53,18,35,51
Yorkshire_and_The_Humber,"Kingston upon Hull, City of",5,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA
Yorkshire_and_The_Humber,East Riding of Yorkshire,"1,512","1,015",567,784,167,51,321,117,447,283,242,350,163,31,155,11,592,"1,357",609,823,"1,361"
Yorkshire_and_The_Humber,North and North East Lincolnshire,494,319,127,211,24,18,99,98,140,101,72,106,89,8,50,9,234,435,204,260,445
Yorkshire_and_The_Humber,York,304,126,70,108,29,NA,42,29,29,14,35,5,33,NA,15,0,66,263,95,130,253
Yorkshire_and_The_Humber,North Yorkshire CC,"5,960","1,855","1,355","1,399",455,110,462,368,584,630,455,96,369,52,357,17,"1,099","5,796","1,831","3,595","5,441"
Yorkshire_and_The_Humber,"Barnsley, Doncaster and Rotherham",710,307,174,204,40,21,70,86,108,72,93,25,91,7,38,0,188,650,251,370,600
Yorkshire_and_The_Humber,Sheffield,184,17,NA,NA,NA,0,0,NA,NA,0,NA,0,0,0,NA,0,NA,NA,24,110,NA
Yorkshire_and_The_Humber,Bradford,436,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,NA,183,357
Yorkshire_and_The_Humber,Leeds,359,98,61,81,20,6,34,19,28,33,21,6,19,NA,21,NA,70,332,95,180,298
Yorkshire_and_The_Humber,Calderdale and Kirklees,730,40,24,29,NA,NA,NA,NA,NA,12,NA,0,5,NA,NA,NA,21,724,58,385,628
Yorkshire_and_The_Humber,Wakefield,230,126,71,67,14,21,NA,13,44,NA,33,7,10,NA,12,0,64,188,77,NA,195
East_Midlands,Derby,30,7,0,NA,0,0,0,0,0,NA,0,NA,NA,0,0,0,NA,24,5,8,20
East_Midlands,East Derbyshire,509,125,89,117,25,5,19,NA,37,NA,25,NA,NA,NA,15,5,76,484,159,276,428
East_Midlands,South and West Derbyshire,"2,093",257,145,173,52,19,16,23,33,75,44,NA,116,14,48,NA,130,"2,056",353,"1,173","1,877"
East_Midlands,Nottingham,5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
East_Midlands,North Nottinghamshire,840,423,186,285,57,53,117,147,84,124,137,32,163,NA,124,NA,320,748,341,442,714
East_Midlands,South Nottinghamshire,434,206,70,89,41,15,20,36,19,67,69,7,67,NA,32,NA,129,384,170,240,382
East_Midlands,Leicester,10,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
East_Midlands,Leicestershire CC and Rutland,"1,960",776,263,353,273,58,31,58,74,219,252,29,227,41,67,6,444,"1,872",711,"1,113","1,779"
East_Midlands,West Northamptonshire,"1,088",401,152,187,125,17,9,NA,73,164,168,10,80,8,50,NA,271,"1,032",326,647,971
East_Midlands,North Northamptonshire,519,254,95,126,54,10,8,15,62,120,115,NA,35,14,26,NA,194,482,182,313,475
East_Midlands,Lincolnshire,"2,849","1,919",604,"1,077",251,121,564,606,576,601,717,380,452,65,603,149,"1,185","2,494","1,058","1,436","2,532"
West_Midlands,"Herefordshire, County of","2,384",716,255,291,267,41,242,153,286,293,127,48,311,40,519,11,286,"2,330",917,"1,558","2,133"
West_Midlands,Worcestershire,"1,803",526,161,218,124,24,61,63,80,186,146,28,180,27,278,12,315,"1,721",600,"1,100","1,597"
West_Midlands,Warwickshire,"1,553",581,235,249,149,39,62,22,97,175,211,45,192,37,107,14,368,"1,483",535,909,"1,390"
West_Midlands,Telford and Wrekin,201,81,39,30,16,6,47,NA,48,20,10,NA,43,NA,21,NA,51,183,72,99,173
West_Midlands,Shropshire CC,"3,272",930,461,492,311,83,194,131,336,255,95,15,572,40,193,10,503,"3,188","1,190","2,059","2,982"
West_Midlands,Stoke-on-Trent,43,NA,0,NA,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,41,NA,9,25
West_Midlands,Staffordshire CC,"2,805",485,258,257,108,30,111,56,124,128,77,6,303,25,124,8,303,"2,764",651,"1,506","2,540"
West_Midlands,Birmingham,30,9,7,NA,NA,0,NA,0,0,NA,5,0,NA,0,NA,0,7,23,NA,11,21
West_Midlands,Solihull,141,40,22,8,5,NA,NA,NA,7,7,8,NA,13,NA,NA,0,17,126,40,67,120
West_Midlands,Coventry,37,10,5,NA,0,0,NA,0,NA,0,NA,0,NA,0,0,0,NA,27,9,15,29
West_Midlands,Dudley,23,5,5,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,NA,17,NA,13,19
