NUTS1 Official Code,NUTS1 Official Name,NUTS1 Publication Code,NUTS1 Publication Name,NUTS2 Official Code,NUTS2 Official Name,NUTS2 Publication Code,NUTS2 Publication Name,NUTS3 Official Code,NUTS3 Official Name,NUTS3 Publication Code,NUTS3 Publication Name
UKC,North East (England),UKC,North East (England),UKC1,Tees Valley and Durham,UKC1,Tees Valley and Durham,UKC11,Hartlepool and Stockton-on-Tees,UKC11,Hartlepool and Stockton-on-Tees
UKC,North East (England),UKC,North East (England),UKC1,Tees Valley and Durham,UKC1,Tees Valley and Durham,UKC12,South Teesside,UKC12,South Teesside
UKC,North East (England),UKC,North East (England),UKC1,Tees Valley and Durham,UKC1,Tees Valley and Durham,UKC13,Darlington,UKC13,Darlington
UKC,North East (England),UKC,North East (England),UKC1,Tees Valley and Durham,UKC1,Tees Valley and Durham,UKC14,Durham CC,UKC14,Durham CC
UKC,North East (England),UKC,North East (England),UKC2,Northumberland and Tyne and Wear,UKC2,Northumberland and Tyne and Wear,UKC21,Northumberland,UKC21,Northumberland
UKC,North East (England),UKC,North East (England),UKC2,Northumberland and Tyne and Wear,UKC2,Northumberland and Tyne and Wear,UKC22,Tyneside,UKC22_23,Tyne and Wear
UKC,North East (England),UKC,North East (England),UKC2,Northumberland and Tyne and Wear,UKC2,Northumberland and Tyne and Wear,UKC23,Sunderland,UKC22_23,Tyne and Wear
UKD,North West (England),UKD,North West (England),UKD1,Cumbria,UKD1,Cumbria,UKD11,West Cumbria,UKD11,West Cumbria
UKD,North West (England),UKD,North West (England),UKD1,Cumbria,UKD1,Cumbria,UKD12,East Cumbria,UKD12,East Cumbria
UKD,North West (England),UKD,North West (England),UKD3,Greater Manchester,UKD3_D6_D7,"Greater Manchester, Cheshire & Merseyside",UKD33,Manchester,UKD33_34_35_36,Greater Manchester South and North West
