Region,NUTS Level 2 Subregion,TIFF (£/ha),Area (ha),Year,Source,TIFF_document_title,TIFF_source,area_source,notes
England,Tees Valley and Durham,253,"197,954.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Northumberland and Tyne and Wear,218,"405,386.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cumbria,189,"508,004.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Greater Manchester,408,"33,110.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lancashire,326,"220,491.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Cheshire,176,"158,841.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Merseyside,478,"19,113.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Yorkshire and Northern Lincolnshire,555,"274,156.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,North Yorkshire,235,"665,750.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,South Yorkshire,228,"82,199.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Yorkshire,428,"92,830.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Derbyshire and Nottinghamshire,345,"325,125.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Leicestershire, Rutland and Northamptonshire",274,"371,227.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Lincolnshire,709,"507,058.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,"Herefordshire, Worcestershire and Warwickshire",577,"444,662.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Shropshire and Staffordshire,844,"473,462.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,West Midlands,253,"14,259.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,East Anglia,528,"975,617.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
England,Bedfordshire and Hertfordshire,288,"173,262.00",2020,a,Total income from farming for the regions of England: NUTS 3 (current prices) - dataset,https://www.gov.uk/government/statistics/total-income-from-farming-for-the-regions-of-england,NA,NA
