Project Site,years since start date,Total PIU,PIUs to Buffer,PIU Project,Area,PIU Project per ha,First planting year,Previous landuse,soil group
Crossrigg,6,34,9,25,25.55624498,0.978234479,2004,Pasture,Mineral
Crossrigg,15,276,65,211,25.55624498,8.256299007,2004,Pasture,Mineral
Crossrigg,25,1930,464,1466,25.55624498,57.36366988,2004,Pasture,Mineral
Crossrigg,35,3391,813,2578,25.55624498,100.8755395,2004,Pasture,Mineral
Crossrigg,45,2389,574,1815,25.55624498,71.01982321,2004,Pasture,Mineral
Crossrigg,55,2329,559,1770,25.55624498,69.25900115,2004,Pasture,Mineral
Crossrigg,65,1641,394,1247,25.55624498,48.79433584,2004,Pasture,Mineral
Crossrigg,75,1206,289,917,25.55624498,35.88164071,2004,Pasture,Mineral
Crossrigg,85,838,201,637,25.55624498,24.92541454,2004,Pasture,Mineral
Crossrigg,95,598,144,454,25.55624498,17.76473815,2004,Pasture,Mineral
Crossrigg,100,239,57,182,25.55624498,7.12154701,2004,Pasture,Mineral
Abernethy,6,305,46,259,558.4639773,0.463772079,2008,Semi-natural,Organo-mineral
Abernethy,15,1784,267,1517,558.4639773,2.716379322,2008,Semi-natural,Organo-mineral
Abernethy,25,9809,1472,8337,558.4639773,14.9284472,2008,Semi-natural,Organo-mineral
Abernethy,35,25014,3752,21262,558.4639773,38.07228553,2008,Semi-natural,Organo-mineral
Abernethy,45,14421,2163,12258,558.4639773,21.94949092,2008,Semi-natural,Organo-mineral
Abernethy,55,13253,1988,11265,558.4639773,20.17139951,2008,Semi-natural,Organo-mineral
Abernethy,65,11658,1749,9909,558.4639773,17.74331094,2008,Semi-natural,Organo-mineral
Abernethy,75,8130,1219,6911,558.4639773,12.37501483,2008,Semi-natural,Organo-mineral
Abernethy,85,5917,888,5029,558.4639773,9.005057093,2008,Semi-natural,Organo-mineral
Abernethy,95,4328,649,3679,558.4639773,6.587712278,2008,Semi-natural,Organo-mineral
Abernethy,100,1519,228,1291,558.4639773,2.311697894,2008,Semi-natural,Organo-mineral
Drumbow,6,93,22,71,37.32485,1.902217959,2002,Pasture,Mineral
Drumbow,15,708,170,538,37.32485,14.41398961,2002,Pasture,Mineral
Drumbow,25,2244,539,1705,37.32485,45.68002283,2002,Pasture,Mineral
Drumbow,35,578,139,439,37.32485,11.76160119,2002,Pasture,Mineral
Drumbow,45,1601,384,1217,37.32485,32.60562333,2002,Pasture,Mineral
Drumbow,55,967,232,735,37.32485,19.69197465,2002,Pasture,Mineral
Drumbow,65,832,200,632,37.32485,16.93241902,2002,Pasture,Mineral
Drumbow,75,706,169,537,37.32485,14.38719781,2002,Pasture,Mineral
Drumbow,85,605,145,460,37.32485,12.32422903,2002,Pasture,Mineral
Drumbow,95,436,105,331,37.32485,8.868086543,2002,Pasture,Mineral
Drumbow,100,154,37,117,37.32485,3.134640863,2002,Pasture,Mineral
Barclye,6,0,0,0,200.305,0,2000,Pasture,Organo-mineral
Barclye,15,7306,1315,5991,200.305,29.90938818,2000,Pasture,Organo-mineral
Barclye,25,21177,3812,17365,200.305,86.69279349,2000,Pasture,Organo-mineral
Barclye,35,17273,3109,14164,200.305,70.71216395,2000,Pasture,Organo-mineral
Barclye,45,8385,1509,6876,200.305,34.32765033,2000,Pasture,Organo-mineral
Barclye,55,5268,949,4319,200.305,21.56211777,2000,Pasture,Organo-mineral
Barclye,65,3903,702,3201,200.305,15.98062954,2000,Pasture,Organo-mineral
Barclye,75,3088,556,2532,200.305,12.6407229,2000,Pasture,Organo-mineral
Barclye,85,2899,522,2377,200.305,11.86690297,2000,Pasture,Organo-mineral
Barclye,95,2273,409,1864,200.305,9.305808642,2000,Pasture,Organo-mineral
Barclye,100,1003,181,822,200.305,4.103741794,2000,Pasture,Organo-mineral
Loch Katrine,6,0,0,0,1119.08,0,2009,Semi-natural,Organo-mineral
Loch Katrine,15,7130,1711,5419,1119.08,4.842370519,2009,Semi-natural,Organo-mineral
Loch Katrine,25,87400,20976,66424,1119.08,59.35589949,2009,Semi-natural,Organo-mineral
Loch Katrine,35,135316,32476,102840,1119.08,91.89691532,2009,Semi-natural,Organo-mineral
Loch Katrine,45,83274,19986,63288,1119.08,56.5535976,2009,Semi-natural,Organo-mineral
Loch Katrine,55,69615,16707,52908,1119.08,47.27812131,2009,Semi-natural,Organo-mineral
Loch Katrine,65,40067,9616,30451,1119.08,27.21074454,2009,Semi-natural,Organo-mineral
Loch Katrine,75,27224,6534,20690,1119.08,18.48840119,2009,Semi-natural,Organo-mineral
Loch Katrine,85,20516,4924,15592,1119.08,13.93287343,2009,Semi-natural,Organo-mineral
Loch Katrine,95,17386,4173,13213,1119.08,11.80702005,2009,Semi-natural,Organo-mineral
Loch Katrine,100,10297,2471,7826,1119.08,6.993244451,2009,Semi-natural,Organo-mineral
Corrimony,6,503,126,377,290.1891296,1.29915273,2004,Semi-natural,Organo-mineral
Corrimony,15,4754,1188,3566,290.1891296,12.2885375,2004,Semi-natural,Organo-mineral
Corrimony,25,12021,3006,9015,290.1891296,31.06594659,2004,Semi-natural,Organo-mineral
Corrimony,35,10337,2584,7753,290.1891296,26.71705867,2004,Semi-natural,Organo-mineral
Corrimony,45,5944,1486,4458,290.1891296,15.36239488,2004,Semi-natural,Organo-mineral
Corrimony,55,4273,1068,3205,290.1891296,11.04452122,2004,Semi-natural,Organo-mineral
Corrimony,65,2728,682,2046,290.1891296,7.050574234,2004,Semi-natural,Organo-mineral
Corrimony,75,1901,475,1426,290.1891296,4.914036587,2004,Semi-natural,Organo-mineral
Corrimony,85,1578,395,1183,290.1891296,4.076651671,2004,Semi-natural,Organo-mineral
Corrimony,95,1347,337,1010,290.1891296,3.480488747,2004,Semi-natural,Organo-mineral
Corrimony,100,461,115,346,290.1891296,1.192325848,2004,Semi-natural,Organo-mineral
"Darrochwids, Blackmiddens",6,0,0,0,35.75993168,0,2007,Pasture,Mineral
"Darrochwids, Blackmiddens",15,464,139,325,35.75993168,9.088384253,2007,Pasture,Mineral
"Darrochwids, Blackmiddens",25,5543,1663,3880,35.75993168,108.5013258,2007,Pasture,Mineral
"Darrochwids, Blackmiddens",35,3695,1109,2586,35.75993168,72.31557439,2007,Pasture,Mineral
"Darrochwids, Blackmiddens",45,2201,660,1541,35.75993168,43.09292349,2007,Pasture,Mineral
"Darrochwids, Blackmiddens",55,1342,403,939,35.75993168,26.25843943,2007,Pasture,Mineral
