project_site,species,yield_class,actual_spacing,lookup_spacing,management,area_ha
Crossrigg,Ash (MB),6,2.581988897,3,No thin no clearfell,0.613484211
Crossrigg,Ash (MB),6,1.9,2.5,No thin no clearfell,0.240931579
Crossrigg,Common Alder (MB),4,2.581988897,3,No thin no clearfell,0.511236842
Crossrigg,Common Alder (MB),4,1.9,2.5,No thin no clearfell,0.200776316
Crossrigg,Downy Birch (MB),6,2.581988897,3,No thin no clearfell,0.163595789
Crossrigg,Downy Birch (MB),6,1.9,2.5,No thin no clearfell,0.011193396
Crossrigg,Rowan (MB),6,2.581988897,3,No thin no clearfell,0.347641053
Crossrigg,Rowan (MB),6,1.9,2.5,No thin no clearfell,0.136527895
Crossrigg,Scots Pine,10,1.9,2,No thin no clearfell,4.4989
Crossrigg,Scots Pine,8,1.9,2,No thin no clearfell,15.6991
Crossrigg,Sessile Oak (MB),4,2.581988897,3,No thin no clearfell,0.163595789
Crossrigg,Sessile Oak (MB),4,1.9,2.5,No thin no clearfell,0.064248421
Crossrigg,Wild Cherry (MB),4,2.581988897,3,No thin no clearfell,0.163595789
Crossrigg,Wild Cherry (MB),4,1.9,2.5,No thin no clearfell,0.064248421
Crossrigg,Wych Elm (MB),4,2.581988897,3,No thin no clearfell,0.081797895
Drumbow,Sessile Oak (MB),2,2.581988897,3,No thin no clearfell,0.642066393
Drumbow,Ash (MB),2,2.581988897,3,No thin no clearfell,0.642066393
Drumbow,Common Alder(MB),2,2.581988897,3,No thin no clearfell,1.92619918
Drumbow,Downy Birch (MB),2,2.581988897,3,No thin no clearfell,1.92619918
Drumbow,Bird Cherry (MB),2,2.581988897,3,No thin no clearfell,0.642066393
Drumbow,Scots Pine,4,2,2,No thin no clearfell,12.05025
Drumbow,Sitka Spruce,12,2,2,No thin no clearfell,15.8267
Drumbow,Hybrid Larch,10,1.9,1.7,No thin no clearfell,2.3268
Loch Katrine,Rowan,4,5.773502692,3,No thin no clearfell,0.0513
Loch Katrine,Other Conifer ,12,2.5,2,No thin no clearfell,1.23
Loch Katrine,Scots pine,12,2.5,2,No thin no clearfell,37.47
Loch Katrine,Alder,2,3.015113446,3,No thin no clearfell,4.05
Loch Katrine,other broadleaves,4,3.015113446,3,No thin no clearfell,13.7
Loch Katrine,other conifers,2,3.015113446,2.0,No thin no clearfell,7.74
Loch Katrine,Birch (downy/silver),2,3.015113446,3,No thin no clearfell,3.2
Loch Katrine,Birch (downy/silver),4,3.015113446,3,No thin no clearfell,24.55
Loch Katrine,Scots pine,8,2.5,2,No thin no clearfell,228.5588
Loch Katrine,Alder,4,3.015113446,3,No thin no clearfell,37.75
Loch Katrine,Mixed broadleaves,4,3.015113446,3,No thin no clearfell,34.31
Loch Katrine,Oak (robur/petraea),4,3.015113446,3,No thin no clearfell,71.9636
Loch Katrine,Mixed conifers,4,3.015113446,2.0,No thin no clearfell,1.5
Loch Katrine,Ash,4,3.015113446,3,No thin no clearfell,22.84
Loch Katrine,Scots pine,4,3.015113446,2,No thin no clearfell,3.3634
Loch Katrine,Oak (robur/petraea),8,3.015113446,3,No thin no clearfell,1.35
Loch Katrine,Downy birch,4,2.5,2.5,No thin no clearfell,4.58
Loch Katrine,Downy birch,4,2.886751346,3,No thin no clearfell,6.11
Loch Katrine,Downy birch,8,2.886751346,3,No thin no clearfell,1.79
Loch Katrine,other conifers,8,2.5,2,No thin no clearfell,4.61
Loch Katrine,Common alder,4,3.015113446,3,No thin no clearfell,4.59
Loch Katrine,Oak (robur/petraea),4,2.5,2.5,No thin no clearfell,6.45
Loch Katrine,Wild cherry/gean,4,2.886751346,3,No thin no clearfell,4.22
Loch Katrine,Silver birch,4,4.714045208,3,No thin no clearfell,1.4259
Loch Katrine,Hazel,4,4.714045208,3.0,No thin no clearfell,7.44
Loch Katrine,other broadleaves,4,2.5,2.5,No thin no clearfell,1.69
Loch Katrine,Silver birch,4,2.5,2.5,No thin no clearfell,1.26
Loch Katrine,Wild cherry/gean,4,2.5,2.5,No thin no clearfell,0.48
"Darrochwids, Blackmiddens",Birch (betula sp.),6,2.154652068,2.5,No thin no clearfell,11.5423
"Darrochwids, Blackmiddens",Hybrid Poplar (Populus serotina/trichocarpa),6,2.154652068,2.5,No thin no clearfell,1.8074
"Darrochwids, Blackmiddens",Scots pine (Pinus sylvestris),8,2.154652068,2,No thin no clearfell,0.6839
"Darrochwids, Blackmiddens",Oak (Quercus sp.),6,2.154652068,2.5,No thin no clearfell,5.9883
"Darrochwids, Blackmiddens",Oak (MB),6,2.154652068,2.5,No thin no clearfell,0.584953632
"Darrochwids, Blackmiddens",Oak (XB),6,2.154652068,2.5,No thin no clearfell,0.031710974
"Darrochwids, Blackmiddens",Silver Birch (MB),4,2.154652068,2.5,No thin no clearfell,0.584953632
"Darrochwids, Coynachie",Silver Birch (XB),6,2.154652068,2.5,No thin no clearfell,0.031710974
"Darrochwids, Coynachie",Ash (MB),4,2.154652068,2.5,No thin no clearfell,0.782188563
"Darrochwids, Coynachie",Ash(MB),4,2.154652068,2.5,No thin no clearfell,0.387718702
"Darrochwids, Coynachie",Ash(XB),4,3.131121455,3,No thin no clearfell,0.7265
"Darrochwids, Coynachie",Alder(MB),4,3.111356956,3,No thin no clearfell,10.7002
"Darrochwids, Coynachie",Alder(XB),4,3.131121455,3,No thin no clearfell,10.09435
"Darrochwids, Coynachie",Bird Cherry(MB),4,2.388283836,2,No thin no clearfell,0.9979
"Darrochwids, Coynachie",Oak,4,2.388283836,2.5,No thin no clearfell,9.20535
"Darrochwids, Coynachie",Hybrid Poplar,4,2.388283836,2.5,No thin no clearfell,2.03437
"Darrochwids, Coynachie",Birch (XB),4,2.388283836,2.5,No thin no clearfell,9.113412498
"Darrochwids, Coynachie",Birch (XB),4,3.131121455,3,No thin no clearfell,5.587887715
"Darrochwids, Coynachie",Birch(MB),4,2.388283836,2.5,No thin no clearfell,4.150901091
"Darrochwids, Coynachie",Rowan(XB),4,2.388283836,2.5,No thin no clearfell,7.412937569
"Darrochwids, Coynachie",Rowan(XB),4,3.131121455,3,No thin no clearfell,4.545241729
"Darrochwids, Coynachie",Rowan(MB),4,2.388283836,2.5,No thin no clearfell,3.376382958
"Darrochwids, Coynachie",Ash(XB),4,2.388283836,2.5,No thin no clearfell,0.397121655
"Darrochwids, Coynachie",Ash(XB),4,3.131121455,3,No thin no clearfell,0.243495093
"Darrochwids, Coynachie",Ash(MB),4,2.388283836,2.5,No thin no clearfell,0.180877658
"Darrochwids, Merdrum",Alder,4,1.99601196,2.5,No thin no clearfell,0.3382
"Darrochwids, Merdrum",Birch,4,2.014534699,2.5,No thin no clearfell,31.44674
"Darrochwids, Merdrum",Oak,4,2.018657877,2.5,No thin no clearfell,8.40714
"Darrochwids, Merdrum",Scots Pine,4,1.99601196,2,No thin no clearfell,3.96546
"Darrochwids, Merdrum",Sessile Oak(XB),4,1.99601196,2.5,No thin no clearfell,1.87516474
"Darrochwids, Merdrum",Sessile Oak(MB),4,1.99601196,2.5,No thin no clearfell,0.720552468
"Darrochwids, Merdrum",Downy Birch(XB),4,1.99601196,2.5,No thin no clearfell,4.708294075
"Darrochwids, Merdrum",Downy Birch(MB),4,1.99601196,2.5,No thin no clearfell,1.809213261
"Darrochwids, Merdrum",Rowan(XB),4,1.99601196,2.5,No thin no clearfell,0.375440592
"Darrochwids, Merdrum",Rowan(MB),4,1.99601196,2.5,No thin no clearfell,0.144267135
Kinloch,Ash,4,2.773500981,3,No thin no clearfell,3.185
Kinloch,Alder,4,2.773500981,3,No thin no clearfell,8.78
Kinloch,Cherry,2,2.773500981,3,No thin no clearfell,2.725
Kinloch,Birch,6,2.773500981,3,No thin no clearfell,24.01
Kinloch,Birch,2,2.773500981,3,No thin no clearfell,41.405
Kinloch,Birch (downy),6,2.773500981,3,No thin no clearfell,91.185
Kinloch,Oak,4,2.773500981,3,No thin no clearfell,20.79
Kinloch,Oak,2,2.773500981,3,No thin no clearfell,10.71
Kinloch,Rowan,2,2.773500981,3,No thin no clearfell,8.085
Kinloch,Rowan,4,2.773500981,3,No thin no clearfell,11.82
Kinloch,Rowan,6,2.773500981,3,No thin no clearfell,7.065
Kinloch,Grey willow,6,2.773500981,3,No thin no clearfell,4.44
Kinloch,Grey willow,4,2.773500981,3,No thin no clearfell,7.525
